Date,143850.KS,195980.KS,148070.KS,153130.KS
2015-07-13,23830.0,9355.0,115055.0,101145.0
2015-07-14,24155.0,9350.0,115140.0,101145.0
2015-07-15,24250.0,9335.0,115275.0,101155.0
2015-07-16,24270.0,9345.0,115430.0,101165.0
2015-07-17,24410.0,9415.0,115620.0,101170.0
2015-07-20,24450.0,9340.0,115565.0,101175.0
2015-07-21,24535.0,9355.0,115815.0,101170.0
2015-07-22,24300.0,9300.0,116045.0,101180.0
2015-07-23,24375.0,9240.0,116610.0,101195.0
2015-07-24,24270.0,9130.0,116990.0,101200.0
2015-07-27,24025.0,8940.0,116915.0,101210.0
2015-07-28,23970.0,8875.0,116530.0,101205.0
2015-07-29,24120.0,8855.0,116645.0,101210.0
2015-07-30,24290.0,8945.0,116470.0,101225.0
2015-07-31,24330.0,8885.0,116275.0,101220.0
2015-08-03,24260.0,8860.0,116465.0,101230.0
2015-08-04,24215.0,8850.0,116300.0,101230.0
2015-08-05,24145.0,8840.0,116030.0,101240.0
2015-08-06,24235.0,8810.0,116330.0,101250.0
2015-08-07,24085.0,8780.0,116280.0,101250.0
2015-08-10,24020.0,8790.0,116710.0,101255.0
2015-08-11,24135.0,8775.0,116965.0,101265.0
2015-08-12,23885.0,8575.0,117680.0,101275.0
2015-08-13,24195.0,8600.0,117520.0,101285.0
2015-08-14,24195.0,8600.0,117520.0,101285.0
2015-08-17,24175.0,8485.0,117570.0,101285.0
2015-08-18,24310.0,8455.0,117775.0,101300.0
2015-08-19,24200.0,8375.0,117430.0,101300.0
2015-08-20,23985.0,8280.0,117700.0,101310.0
2015-08-21,23355.0,8095.0,117950.0,101305.0
2015-08-24,22285.0,7760.0,118125.0,101310.0
2015-08-25,21910.0,7680.0,118220.0,101310.0
2015-08-26,22010.0,7830.0,118250.0,101310.0
2015-08-27,22395.0,7915.0,117635.0,101325.0
2015-08-28,22905.0,8125.0,117580.0,101325.0
2015-08-31,22780.0,8130.0,117710.0,101325.0
2015-09-01,22300.0,8095.0,117300.0,101335.0
2015-09-02,22315.0,7930.0,117935.0,101340.0
2015-09-03,22495.0,7910.0,117870.0,101355.0
2015-09-04,22330.0,7865.0,118040.0,101360.0
2015-09-07,22380.0,7760.0,118275.0,101375.0
2015-09-08,22410.0,7720.0,118240.0,101385.0
2015-09-09,22960.0,7980.0,118175.0,101385.0
2015-09-10,22585.0,7965.0,118340.0,101390.0
2015-09-11,22560.0,8025.0,118215.0,101405.0
2015-09-14,22650.0,7975.0,118080.0,101410.0
2015-09-15,22605.0,8005.0,118110.0,101405.0
2015-09-16,22850.0,8085.0,117980.0,101410.0
2015-09-17,23060.0,8250.0,117975.0,101425.0
2015-09-18,22975.0,8230.0,118655.0,101430.0
2015-09-21,22625.0,8130.0,118955.0,101435.0
2015-09-22,22770.0,8130.0,119050.0,101435.0
2015-09-23,22270.0,7875.0,119250.0,101440.0
2015-09-24,22290.0,7825.0,119155.0,101460.0
2015-09-25,22410.0,7780.0,119010.0,101460.0
2015-09-30,22005.0,7805.0,120010.0,101475.0
2015-10-01,22395.0,7920.0,119605.0,101480.0
2015-10-02,22285.0,7950.0,119705.0,101485.0
2015-10-05,22595.0,8075.0,120140.0,101485.0
2015-10-06,22820.0,8220.0,120145.0,101500.0
2015-10-07,22925.0,8355.0,119935.0,101510.0
2015-10-08,22935.0,8405.0,119790.0,101515.0
2015-10-12,23315.0,8600.0,119440.0,101515.0
2015-10-13,23315.0,8540.0,119355.0,101520.0
2015-10-14,23140.0,8450.0,119460.0,101525.0
2015-10-15,23145.0,8580.0,120065.0,101530.0
2015-10-16,23415.0,8605.0,120000.0,101535.0
2015-10-19,23400.0,8600.0,119910.0,101535.0
2015-10-20,23440.0,8600.0,119785.0,101545.0
2015-10-21,23525.0,8585.0,119480.0,101545.0
2015-10-22,23355.0,8505.0,119615.0,101555.0
2015-10-23,23820.0,8625.0,119690.0,101550.0
2015-10-26,23820.0,8635.0,119730.0,101555.0
2015-10-27,23825.0,8575.0,120065.0,101565.0
2015-10-28,23930.0,8540.0,120500.0,101560.0
2015-10-29,24080.0,8480.0,120130.0,101575.0
2015-10-30,24265.0,8440.0,119715.0,101570.0
2015-11-02,23930.0,8450.0,119520.0,101580.0
2015-11-03,24285.0,8525.0,119405.0,101580.0
2015-11-04,24355.0,8655.0,118670.0,101585.0
2015-11-05,24310.0,8615.0,119310.0,101595.0
2015-11-06,24275.0,8555.0,119085.0,101595.0
2015-11-09,24310.0,8405.0,118020.0,101595.0
